from,to,ans
1,3,5
1,8,3
1,9,3
1,12,3
1,15,2
1,23,3
1,26,2
1,37,2
1,30,2
2,4,2
2,6,3
2,7,5
2,8,4
2,11,5
2,13,4
2,14,4
2,16,2
2,18,3
2,19,2
2,20,5
2,22,3
2,25,3
2,27,4
2,28,4
2,29,5
2,31,2
2,33,2
2,34,3
2,35,5
2,38,4
2,41,3
3,1,4
3,9,4
3,12,4
3,32,4
3,33,2
3,30,4
4,8,3
4,11,2
4,20,2
4,32,3
4,33,3
4,40,5
5,6,5
5,14,2
5,19,5
5,20,3
5,21,2
5,23,3
5,25,3
5,26,5
5,27,2
5,29,3
5,36,3
5,39,4
5,44,3
5,24,5
6,5,3
6,6,5
6,17,3
6,19,4
6,20,2
6,21,3
6,23,3
6,25,5
6,26,5
6,28,5
6,36,5
6,39,5
6,44,5
6,24,4
7,2,5
7,8,3
7,11,3
7,13,3
7,14,5
7,19,2
7,20,4
7,23,2
7,26,2
7,27,2
7,28,2
7,29,4
7,34,4
7,35,5
7,38,2
7,24,2
8,1,4
8,2,3
8,3,2
8,4,4
8,7,3
8,9,3
8,10,3
8,12,4
8,15,2
8,16,2
8,20,2
8,22,4
8,31,5
8,32,4
8,33,5
8,34,3
8,37,2
8,38,2
8,40,2
8,41,3
9,1,3
9,3,2
9,32,2
10,1,3
10,8,4
10,20,2
10,23,2
10,28,2
10,31,2
10,37,2
10,38,3
10,40,2
10,41,2
10,43,2
11,2,5
11,20,4
11,38,3
11,24,4
12,1,3
12,3,2
12,8,3
12,9,2
12,22,5
12,31,2
12,32,2
12,33,5
12,37,2
12,41,2
12,30,5
13,2,3
13,7,2
13,18,2
13,19,2
13,20,2
13,27,2
13,29,3
14,2,4
14,7,2
14,20,3
14,38,2
17,6,2
17,19,3
17,23,4
17,25,2
17,26,3
17,28,3
17,29,3
17,36,2
17,39,2
17,44,3
17,24,3
18,2,4
18,5,2
18,7,2
18,8,2
18,11,2
18,13,5
18,20,4
18,22,2
18,25,4
18,26,2
18,27,3
18,28,2
18,29,2
18,31,3
18,33,3
18,34,3
18,37,2
18,38,2
18,40,2
19,2,3
19,5,5
19,6,5
19,7,3
19,11,2
19,13,3
19,14,2
19,17,3
19,20,2
19,21,2
19,25,3
19,26,5
19,27,2
19,28,3
19,29,2
19,36,5
19,38,3
19,39,5
19,44,5
19,24,5
20,1,2
20,2,3
20,4,2
20,5,2
20,6,2
20,7,3
20,8,4
20,10,2
20,11,4
20,12,2
20,13,5
20,14,4
20,18,4
20,19,3
20,22,2
20,23,3
20,25,3
20,26,2
20,27,4
20,28,4
20,29,4
20,31,3
20,34,3
20,35,2
20,36,2
20,38,4
20,41,2
20,43,2
20,44,3
20,24,5
21,2,2
21,6,3
21,17,4
21,19,2
21,20,3
21,23,2
21,25,2
21,26,3
21,27,2
21,28,3
21,29,4
21,36,2
21,39,2
21,44,4
21,24,4
22,2,2
22,4,2
22,8,3
22,11,2
22,12,5
22,15,5
22,16,2
22,18,2
22,31,2
22,32,2
22,33,5
22,34,2
22,38,4
22,40,5
22,24,2
22,30,2
23,1,2
23,5,3
23,6,3
23,10,3
23,11,2
23,17,4
23,19,3
23,20,3
23,25,2
23,26,4
23,28,3
23,29,4
23,36,5
23,38,2
23,39,4
23,44,4
23,24,2
25,2,2
25,5,2
25,6,5
25,18,2
25,19,4
25,20,3
25,23,3
25,26,4
25,27,2
25,28,3
25,36,3
25,39,3
25,44,2
25,24,3
26,5,5
26,6,5
26,11,2
26,17,4
26,19,5
26,20,2
26,21,2
26,23,5
26,25,5
26,26,5
26,27,2
26,28,4
26,29,2
26,36,5
26,38,2
26,39,5
26,44,5
26,24,5
27,2,4
27,5,2
27,6,2
27,7,2
27,13,5
27,14,3
27,18,3
27,19,2
27,20,4
27,25,3
27,26,2
27,28,2
27,29,4
27,35,5
27,24,3
28,2,3
28,5,2
28,6,5
28,7,2
28,10,2
28,11,2
28,13,2
28,17,4
28,18,3
28,19,3
28,20,3
28,21,2
28,23,4
28,25,2
28,26,3
28,27,2
28,29,3
28,36,3
28,38,2
28,39,2
28,44,4
28,24,3
29,2,4
29,5,3
29,7,4
29,13,3
29,20,4
29,21,2
29,23,4
29,27,3
29,28,3
29,44,2
31,1,2
31,2,2
31,4,3
31,8,5
31,10,2
31,12,2
31,16,2
31,18,3
31,20,3
31,22,2
31,23,2
31,32,2
31,34,2
31,38,3
31,40,3
31,41,2
31,24,2
32,1,2
32,3,2
32,4,5
32,8,2
32,9,2
32,33,3
32,34,2
32,40,5
33,1,2
33,2,2
33,4,5
33,8,5
33,9,2
33,10,2
33,12,5
33,15,3
33,16,3
33,18,3
33,22,5
33,31,3
33,32,3
33,34,3
33,37,3
33,38,2
33,40,5
33,43,2
34,2,2
34,8,2
34,31,3
34,33,4
34,37,2
34,38,2
34,42,5
35,2,3
35,13,2
35,18,2
35,27,4
35,29,2
35,39,2
36,5,3
36,6,5
36,17,3
36,19,4
36,23,5
36,25,4
36,26,5
36,28,4
36,29,2
36,39,4
36,44,5
36,24,5
37,1,2
37,8,2
37,10,2
37,12,2
37,31,2
37,34,2
38,2,5
38,4,2
38,6,2
38,7,4
38,8,2
38,11,3
38,13,2
38,14,4
38,19,2
38,20,3
38,22,5
38,23,3
38,26,2
38,29,3
38,31,3
38,33,3
38,34,2
38,35,5
38,41,4
38,24,2
39,5,3
39,6,5
39,19,5
39,23,4
39,25,2
39,26,4
39,28,2
39,36,3
39,44,4
39,24,5
40,4,5
40,8,3
40,15,3
40,16,2
40,22,3
40,31,2
40,32,5
40,33,5
40,34,2
40,37,2
41,1,2
41,2,2
41,8,3
41,10,3
41,12,2
41,14,2
41,20,2
41,38,3
41,43,2
42,34,4
43,8,2
43,12,2
43,33,2
44,5,3
44,6,5
44,17,3
44,19,5
44,20,2
44,21,2
44,23,3
44,25,2
44,26,4
44,28,2
44,36,4
44,39,4
44,24,3
24,2,2
24,5,5
24,6,5
24,7,2
24,11,3
24,12,2
24,14,2
24,17,4
24,18,2
24,19,4
24,20,4
24,21,3
24,23,3
24,25,4
24,26,5
24,27,2
24,28,3
24,29,3
24,31,3
24,36,5
24,38,2
24,44,4
30,1,3
30,3,4
30,9,3
30,12,5
30,32,2
30,33,2
30,34,2
